bw,a,d,f 'c,p,Ef ,Ec,Vcf
178,904.0,226,36.3,1.42,40.3,39.9,64.18
250,1105.0,442,74.2,1.27,46.3,30.6,116.1
229,904.0,226,36.3,1.66,40.3,39.9,89.49
250,1000.82,326,63.0,2.19,135.0,37.31,174.0
178,749.07,287,24.1,1.34,40.0,23.07,40.1
229,455.7,147,59.7,0.59,40.8,36.31,28.6
250,1000.82,326,63.0,1.7,135.0,37.31,130.0
150,625.0,250,34.2,2.11,94.0,94.0,81.0
457,2737.3,883,29.5,0.59,40.7,25.53,154.1
150,697.0,170,25.4,0.89,115.0,115.0,39.8
150,735.9,223,40.3,1.28,45.0,29.84,27.15
165,913.92,224,79.6,2.09,40.3,41.93,32.2
250,775.0,310,88.3,0.42,144.0,44.16,77.9
254,896.0,224,36.3,2.05,40.3,39.9,102.13
1000,1003.03,161,40.0,1.18,114.0,29.73,190.0
200,750.0,250,35.2,1.61,29.0,31.0,56.0
127,909.48,143,60.3,0.33,139.0,36.5,14.3
150,625.0,250,31.3,2.11,94.0,94.0,75.0
254,913.92,224,36.3,2.05,40.3,28.32,46.6
121,909.45,141,81.4,0.76,139.0,42.4,14.3
160,1150.5,325,34.1,1.54,42.0,27.45,48.7
300,1445.0,578,74.2,1.38,46.3,40.49,155.2
203,913.92,224,79.6,2.55,40.3,41.93,45.2
150,625.0,250,31.3,1.39,94.0,94.0,95.0
250,740.0,296,42.4,1.43,46.3,30.6,70.9
150,668.64,168,27.8,0.45,38.0,27.41,12.5
200,750.0,250,35.2,1.61,29.0,31.0,66.0
160,1148.72,346,43.2,1.1,42.0,30.89,45.5
200,1040.0,325,44.7,0.7,137.0,40.0,106.0
200,770.0,220,30.0,0.33,25.1,25.74,26.7
150,625.0,250,34.0,1.07,100.0,30.0,110.0
450,1539.0,405,35.0,2.0,26.5,27.81,138.1
160,951.5,346,37.3,0.72,42.0,28.7,63.7
450,772.0,193,35.0,0.5,26.5,27.81,54.2
203,913.5,225,79.6,1.24,40.3,41.93,41.6
150,625.0,250,35.0,1.05,94.0,94.0,73.0
450,1539.0,405,35.0,2.36,37.0,41.0,154.0
203,913.5,225,79.6,1.24,40.3,41.93,42.1
200,992.0,310,35.5,1.37,36.0,42.0,57.8
457,2728.0,880,29.5,1.18,40.7,25.53,220.7
178,750.51,279,24.1,2.3,40.0,23.07,53.4
200,600.75,225,49.0,0.5,145.0,32.9,47.0
250,727.5,291,65.3,0.89,46.3,37.98,75.6
121,909.45,141,81.4,0.76,139.0,42.4,16.6
152,913.5,225,79.6,1.66,40.3,41.93,31.0
203,896.0,224,79.6,2.56,40.3,46.1,90.43
229,913.5,225,36.3,1.66,40.3,28.32,44.7
254,913.92,224,36.3,2.05,40.3,28.32,37.7
250,775.0,310,65.3,0.42,144.0,37.98,71.6
250,1000.82,326,63.0,1.7,42.0,37.31,87.0
229,913.5,225,36.3,1.11,40.3,28.32,39.1
130,1150.1,310,34.1,1.54,120.0,27.45,58.3
178,913.5,225,36.3,1.42,40.3,28.32,28.1
150,750.0,250,34.3,3.02,105.0,39.0,113.0
203,896.0,224,79.6,2.56,40.3,46.1,91.45
130,1150.1,310,43.2,1.1,120.0,30.89,47.6
250,1000.82,326,44.6,1.21,42.0,31.39,60.0
457,1224.0,360,40.3,0.96,47.0,29.84,114.8
114,911.4,294,32.1,0.59,40.8,26.63,18.7
200,750.0,250,82.5,0.93,137.0,53.0,172.2
200,992.0,310,35.5,1.37,36.0,42.0,68.5
300,1318.4,412,46.8,3.25,46.0,51.0,266.0
150,550.0,220,30.0,0.77,25.1,25.74,25.85
